"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad.all","Membership.wgs.all","Q1.rad.all","Q2.rad.all","Q3.rad.all","Q4.rad.all","Q5.rad.all","Q1.wgs.all","Q2.wgs.all","Q3.wgs.all","Q4.wgs.all","Q5.wgs.all","Q6.wgs.all","Q1.rad.hbsc","Q2.rad.hbsc","Q3.rad.hbsc","Q1.wgs.hbsc","Q2.wgs.hbsc","Q1.rad.jam","Q2.rad.jam","Q1.wgs.jam","Q2.wgs.jam","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_00693","lcWGS","SAMN33394065","OQ553974","Clade D","M",24,"CS","Pangnirtung",NA,NA,2005,7,NA,NA,"HBSC",NA,NA,NA,NA,NA,0.521074,0.001764,0.033778,0.156311,0.271352,0.015721,NA,NA,NA,0.563702,0.436298,NA,NA,NA,NA,NA,NA,NA,640186,641609.5,-0.00751
"S_20_00694","lcWGS","SAMN36656189","OQ553975","Clade D","M",27,"CS","Pangnirtung_Angijak_Island",66.01,-63.02,2002,7,22,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638838,636769,0.01099
"S_20_00695","ddRADseq","SAMN36656190",NA,NA,"M",NA,"CS","Pangnirtung_West_Cumberland_Sound",65.24083333,-66.65805556,2002,7,NA,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19472,19310.7,0.02523,NA,NA,NA
"S_20_00697","ddRADseq","SAMN36656191",NA,NA,"F",26,"CS","Pangnirtung",NA,NA,2007,7,4,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19250,18406.8,0.14197,NA,NA,NA
"S_20_00701","ddRADseq","SAMN36656193",NA,NA,"F",29,"CS","Pangnirtung",NA,NA,2005,7,12,"HBSC",NA,0.033816,0.637514,0.192612,0.040042,0.096016,NA,NA,NA,NA,NA,NA,0.806333,0.186788,0.006879,NA,NA,NA,NA,NA,NA,19317,19499.9,-0.0284,NA,NA,NA
"S_20_00702","ddRADseq","SAMN33394026",NA,NA,"M",30,"CS","Pangnirtung",NA,NA,2002,7,22,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16166,14706.3,0.31921,NA,NA,NA
"S_20_00703","Both","SAMN32779554","MW316171    ",NA,"M",40,"CS","Pangnirtung",NA,NA,2006,7,1,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.81004,0.036735,0.153195,NA,NA,NA,NA,NA,NA,NA,NA,NA,19571,18721.8,0.13937,639112,646037.7,-0.03634
"S_20_00709","ddRADseq","SAMN36656194",NA,NA,"F",NA,"CS","Pangnirtung_West_Cumberland_Sound",65.24083333,-66.65805556,2002,7,NA,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19361,18534.9,0.13498,NA,NA,NA
"S_20_00776","Both","SAMN36656245","OQ553996","Clade D","M",32,"CS","Pangnirtung_Ilugajut",NA,NA,2002,7,NA,"CS","CS",0.017985,0.139449,0.763484,0.029602,0.04948,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,19625,19101.3,0.08293,636861,644246.2,-0.03884
"S_20_00777","ddRADseq","SAMN36656246",NA,NA,"F",NA,"CS","Pangnirtung",NA,NA,2002,7,22,"CS",NA,0.02493,0.034845,0.758461,0.023881,0.157882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19428,18914,0.08224,NA,NA,NA
