"ID_GQ","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","K","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo"
"S_20_00744",0.825919,0.174081,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_02_1010","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL022"
"S_20_00745",0.792034,0.207966,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1020","BEL","Sanikiluaq",2003,9,NA,"Sanikiluaq","HL001"
"S_20_00748",0.824555,0.175445,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1065","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL001"
"S_20_00749",0.781676,0.218324,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_2","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL016"
"S_20_00750",0.790529,0.209471,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1040","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL001"
"S_20_00751",0.778989,0.221011,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1024","BEL","Sanikiluaq",2003,NA,NA,"Sanikiluaq","HL001"
"S_20_00753",0.781639,0.218361,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_11","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL034"
"S_20_00754",0.786831,0.213169,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_14","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL039"
"S_20_00755",0.791949,0.208051,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1075","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL001"
"S_20_00757",0.787311,0.212689,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1086","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL022"
"S_20_00758",0.781167,0.218833,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_8","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL039"
"S_20_00761",0.780747,0.219253,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_19","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL008"
"S_20_00764",0.783613,0.216387,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_16","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001"
"S_20_00765",0.785441,0.214559,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_02_1001","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL022"
"S_20_00766",0.791639,0.208361,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_02_1002","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL001"
"S_20_00767",0.736147,0.263853,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_04_1071","BEL","Sanikiluaq",2004,6,18,"Sanikiluaq","HL022"
"S_20_00768",0.736101,0.263899,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_12","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001"
"S_20_00769",0.807078,0.192922,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_2004_13","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL034"
"S_20_00770",0.800921,0.199079,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_03_01","SWH","Nelson_River",2003,7,30,"Churchill","HL015"
"S_20_00771",0.796324,0.203676,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_03_04","SWH","Nelson_River",2003,8,4,"Churchill","HL001"
"S_20_00772",0.816894,0.183106,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_03_02","SWH","Nelson_River",2003,8,3,"Churchill","HL003"
"S_20_00775",0.813089,0.186911,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_05_01","SWH","Nelson_River",2005,7,23,"Churchill","HL012"
