"ID_GQ","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo","K","Q1","Q2","Q3","Q4","Q5","Membership.neutral"
"S_20_00711","JBDL_07_02","JAM","Pointe_de_Repentigny",2007,8,9,"DFO_MPO","HL008",5,1e-05,1e-05,1e-05,0.99996,1e-05,"JAM"
"S_20_00712","JBDL_07_04","JAM","Pointe_de_Repentigny",2007,8,14,"DFO_MPO","HL008",5,1e-05,1e-05,1e-05,0.99996,1e-05,"JAM"
"S_20_00713","ARSQ_02_1036","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL032",5,0.131391,0.357267,0.393331,0.076416,0.041594,"HBSC"
"S_20_00717","ARSQ_04_1073","BEL","Sanikiluaq",2004,6,19,"Sanikiluaq","HL035",5,0.080182,0.471495,0.321189,0.072848,0.054286,"HBSC"
"S_20_00718","ARSQ_03_1018","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL036",5,0.060426,0.525827,0.232275,0.098912,0.08256,"HBSC"
"S_20_00719","ARSQ_2004_6","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL037",5,0.007941,0.05015,0.073703,0.835264,0.032943,"JAM"
"S_20_00720","ARSQ_03_1017","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL022",5,0.041935,0.523778,0.230634,0.113138,0.090514,"HBSC"
"S_20_00721","ARSQ_04_1072","BEL","Sanikiluaq",2004,6,18,"Sanikiluaq","HL001",5,0.176807,0.324465,0.383136,0.115582,1e-05,"HBSC"
"S_20_00722","ARSQ_04_1032","BEL","Sanikiluaq",2004,12,17,"Sanikiluaq",NA,5,0.041201,0.00494,0.109978,0.842497,0.001384,"JAM"
"S_20_00724","ARSQ_2004_15","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL034",5,0.005067,0.023311,0.080154,0.877069,0.014398,"JAM"
"S_20_00725","ARSQ_2004_5","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001",5,0.011554,1e-05,1e-05,0.962213,0.026213,"JAM"
"S_20_00726","ARSQ_03_1014","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL001",5,0.014458,0.534608,0.284179,0.06598,0.100776,"HBSC"
"S_20_00729","ARSQ_2004_4","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001",5,1e-05,0.037305,0.075662,0.844563,0.042461,"JAM"
"S_20_00730","ARSQ_02_1035","BEL","Sanikiluaq",2002,5,NA,"Sanikiluaq","HL038",5,0.098329,1e-05,1e-05,0.901641,1e-05,"JAM"
"S_20_00732","ARSQ_04_1067","BEL","Sanikiluaq",2004,7,NA,"Sanikiluaq","HL001",5,0.177356,0.344105,0.359471,0.078557,0.040511,"HBSC"
"S_20_00733","ARSQ_04_1030","BEL","Sanikiluaq",2004,12,17,"Sanikiluaq","HL033",5,0.074759,1e-05,0.085771,0.83945,1e-05,"JAM"
"S_20_00734","ARSQ_03_1005","BEL","Sanikiluaq",2003,6,28,"Sanikiluaq","HL001",5,0.133928,0.351866,0.406468,0.093361,0.014376,"HBSC"
"S_20_00735","ARSQ_2004_18","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL033",5,1e-05,0.00491,0.019971,0.962925,0.012184,"JAM"
"S_20_00738","ARSQ_04_1066","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL001",5,0.0366,0.585588,0.241072,0.047523,0.089217,"HBSC"
"S_20_00740","ARSQ_2004_17","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL033",5,1e-05,1e-05,0.079807,0.920163,1e-05,"JAM"
"S_20_00741","ARSQ_02_1004","BEL","Sanikiluaq",2002,5,17,"Sanikiluaq","HL032",5,0.10899,0.538204,0.282392,0.041987,0.028427,"HBSC"
"S_20_00742","ARSQ_04_A","BEL","Sanikiluaq",2004,NA,NA,"Sanikiluaq",NA,5,0.03608,0.543868,0.293893,0.0703,0.055859,"HBSC"
"S_20_00744","ARSQ_02_1010","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL022",5,0.029644,0.586119,0.228267,0.063448,0.092522,"HBSC"
"S_20_00745","ARSQ_03_1020","BEL","Sanikiluaq",2003,9,NA,"Sanikiluaq","HL001",5,0.067461,0.555207,0.21802,0.091598,0.067715,"HBSC"
"S_20_00748","ARSQ_04_1065","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL001",5,0.035621,0.602189,0.197462,0.096064,0.068664,"HBSC"
"S_20_00749","ARSQ_2004_2","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL016",5,0.030943,0.033908,0.075889,0.852157,0.007104,"JAM"
"S_20_00750","ARSQ_03_1040","BEL","Sanikiluaq",2003,9,29,"Sanikiluaq","HL001",5,0.054597,0.441778,0.312442,0.118153,0.073031,"HBSC"
"S_20_00751","ARSQ_03_1024","BEL","Sanikiluaq",2003,NA,NA,"Sanikiluaq","HL001",5,0.069426,0.480155,0.322924,0.086743,0.040753,"HBSC"
"S_20_00753","ARSQ_2004_11","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL034",5,0.036205,0.023334,0.050815,0.860289,0.029357,"JAM"
"S_20_00754","ARSQ_2004_14","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL039",5,0.052998,0.051823,0.032587,0.862581,1e-05,"JAM"
"S_20_00755","ARSQ_04_1075","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL001",5,0.054228,0.491362,0.321816,0.093238,0.039356,"HBSC"
"S_20_00757","ARSQ_04_1086","BEL","Sanikiluaq",2004,6,17,"Sanikiluaq","HL022",5,0.067596,0.552229,0.29109,0.089075,1e-05,"HBSC"
"S_20_00758","ARSQ_2004_8","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL039",5,0.028455,0.039184,0.067621,0.851295,0.013446,"JAM"
"S_20_00761","ARSQ_2004_19","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL008",5,0.039177,1e-05,1e-05,0.931432,0.029372,"JAM"
"S_20_00764","ARSQ_2004_16","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001",5,0.041465,1e-05,1e-05,0.958505,1e-05,"JAM"
"S_20_00765","ARSQ_02_1001","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL022",5,0.070353,0.550156,0.302186,0.064254,0.013051,"HBSC"
"S_20_00766","ARSQ_02_1002","BEL","Sanikiluaq",2002,5,30,"Sanikiluaq","HL001",5,0.066911,0.542324,0.253803,0.100398,0.036564,"HBSC"
"S_20_00767","ARSQ_04_1071","BEL","Sanikiluaq",2004,6,18,"Sanikiluaq","HL022",5,0.119401,0.460881,0.310914,0.066033,0.042771,"HBSC"
"S_20_00768","ARSQ_2004_12","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL001",5,0.093158,0.045396,1e-05,0.861426,1e-05,"JAM"
"S_20_00769","ARSQ_2004_13","BEL","Sanikiluaq",2005,5,19,"Sanikiluaq","HL034",5,0.014685,0.074611,0.089116,0.790346,0.031242,"JAM"
"S_20_00770","ARNR_03_01","SWH","Nelson_River",2003,7,30,"Churchill","HL015",5,0.058027,0.569574,0.252634,0.048607,0.071159,"HBSC"
"S_20_00771","ARNR_03_04","SWH","Nelson_River",2003,8,4,"Churchill","HL001",5,0.053277,0.477552,0.258015,0.138599,0.072558,"HBSC"
"S_20_00772","ARNR_03_02","SWH","Nelson_River",2003,8,3,"Churchill","HL003",5,0.040259,0.585708,0.230616,0.046639,0.096778,"HBSC"
"S_20_00775","ARNR_05_01","SWH","Nelson_River",2005,7,23,"Churchill","HL012",5,0.050584,0.645044,0.227981,0.024127,0.052264,"HBSC"
"S_20_00776","ARPG_02_1037","CSB","Pangnirtung_Ilugajut",2002,7,NA,"Pangnirtung","HL003",5,0.023312,0.121069,0.790379,0.034122,0.031118,"CSB"
"S_20_00777","ARPG_02_1198","CSB","Pangnirtung",2002,7,22,"Pangnirtung","HL022",5,0.046094,0.018111,0.754396,0.042494,0.138905,"CSB"
"S_20_00778","ARPG_02_1077","CSB","Pangnirtung_Imilit",2002,7,6,"Pangnirtung","HL040",5,1e-05,0.158008,0.7625,0.005083,0.0744,"CSB"
"S_20_00779","ARNR_02_01","SWH","Nelson_River",2002,7,13,"Churchill","HL012",5,0.042289,0.596509,0.252091,0.046561,0.06255,"HBSC"
"S_20_00780","ARCH_01_1111","NWH","Coral Harbour_Ruin Point",2001,9,3,"Coral Harbour","HL020",5,0.048996,0.537475,0.275383,0.084853,0.053292,"HBSC"
"S_20_00781","ARPG_07_1317","CSB","Pangnirtung",2007,7,4,"Pangnirtung","HL003",5,0.018253,0.084486,0.830686,0.010055,0.05652,"CSB"
"S_20_00782","ARPG_05_1230","CSB","Pangnirtung",2005,NA,NA,"Pangnirtung","HL003",5,0.180638,0.33634,0.437599,0.022845,0.022578,"HBSC"
"S_20_00784","ARPG_07_1328","CSB","Pangnirtung_Kangilo_Fjord",2007,7,4,"Pangnirtung","HL024",5,1e-05,1e-05,0.99996,1e-05,1e-05,"CSB"
"S_20_00788","ARNR_04_01","SWH","Nelson_River",2004,7,24,"Churchill","HL042",5,0.056207,0.60216,0.213862,0.002892,0.124879,"HBSC"
"S_20_00789","ARAR_03_1063","NWH","Arviat",2003,8,NA,"Arviat","HL003",5,0.031655,0.627848,0.242321,0.037601,0.060576,"HBSC"
"S_20_00790","ARAR_03_1064","NWH","Arviat",2003,8,27,"Arviat","HL043",5,0.055197,0.548305,0.303126,0.062915,0.030457,"HBSC"
"S_20_00791","ARAR_03_1065","NWH","Arviat",2003,8,6,"Arviat","HL044",5,0.064819,0.540421,0.332742,0.062008,1e-05,"HBSC"
"S_20_00792","ARAR_03_1066","NWH","Arviat",2003,8,10,"Arviat","HL006",5,0.039998,0.621213,0.212774,0.073802,0.052213,"HBSC"
"S_20_00793","ARAR_03_1067","NWH","Arviat",2003,8,4,"Arviat","HL003",5,0.044801,0.631057,0.234615,0.037887,0.05164,"HBSC"
"S_20_00794","ARAR_03_1068","NWH","Arviat",2003,8,14,"Arviat","HL003",5,0.025738,0.676853,0.238901,0.046661,0.011846,"HBSC"
"S_20_00795","ARAR_03_1069","NWH","Arviat",2003,8,17,"Arviat","HL045",5,0.042752,0.681209,0.197626,0.047639,0.030774,"HBSC"
"S_20_00797","ARAR_03_1044","NWH","Arviat",2003,8,17,"Arviat","HL046",5,0.001872,0.567235,0.297474,0.122213,0.011206,"HBSC"
"S_20_00798","ARAR_03_1047","NWH","Arviat",2003,8,17,"Arviat","HL001",5,0.070672,0.605951,0.24335,0.029725,0.050302,"HBSC"
"S_20_00799","ARAR_03_1048","NWH","Arviat",2003,8,17,"Arviat","HL047",5,0.058257,0.615083,0.195048,0.065291,0.066321,"HBSC"
"S_20_00800","ARAR_03_1050","NWH","Arviat",2003,8,15,"Arviat","HL003",5,0.056166,0.559984,0.239484,0.053269,0.091098,"HBSC"
"S_20_00801","ARAR_03_1052","NWH","Arviat",2003,8,NA,"Arviat","HL003",5,0.106917,0.512699,0.288569,0.034158,0.057658,"HBSC"
"S_20_00802","ARAR_03_1053","NWH","Arviat",2003,8,14,"Arviat","HL003",5,0.093834,0.549342,0.231704,0.022788,0.102332,"HBSC"
"S_20_00803","ARAR_03_1054","NWH","Arviat",2003,8,14,"Arviat","HL044",5,0.038696,0.502395,0.347144,0.071837,0.039928,"HBSC"
"S_20_00804","ARAR_03_1055","NWH","Arviat",2003,8,14,"Arviat","HL004",5,0.021178,0.535318,0.302505,0.115334,0.025665,"HBSC"
"S_20_00805","ARAR_03_1057","NWH","Arviat",2003,8,9,"Arviat","HL001",5,0.089006,0.439852,0.228368,0.1624,0.080374,"HBSC"
"S_20_00806","NQ02_4146","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001",5,0.094796,0.487661,0.389584,0.02795,1e-05,"HBSC"
"S_20_00807","NQ02_4147","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001",5,0.066137,0.696317,1e-05,0.076885,0.160651,"HBSC"
"S_20_00808","NQ02_4148","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001",5,0.060555,0.577911,0.236049,0.067108,0.058377,"HBSC"
"S_20_00809","NQ02_4149","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001",5,0.064787,0.631537,0.114749,0.104928,0.083999,"HBSC"
"S_20_00810","NQ02_4150","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001",5,0.098447,0.563949,0.195726,0.053657,0.088221,"HBSC"
"S_20_00811","ARCH_02_01","NWH","Churchill",2002,NA,NA,"Churchill","HL026",5,0.037921,0.501433,0.260496,0.144321,0.055829,"HBSC"
"S_20_00812","ARNR_04_04","SWH","Nelson_River",2004,7,26,"Churchill","HL003",5,0.047144,0.4857,0.347198,0.033165,0.086793,"HBSC"
"S_20_00813","ARNR_03_05","SWH","Nelson_River",2003,8,5,"Churchill","HL015",5,0.035908,0.586467,0.212959,0.058162,0.106504,"HBSC"
"S_20_00814","NQWW_01_04","SHS","Quaqtaq",2001,10,25,"Quaqtaq","HL048",5,0.038798,0.462047,0.311703,0.149673,0.03778,"HBSC"
"S_20_00816","NQWW_01_06","SHS","Quaqtaq",2001,10,27,"Quaqtaq","HL047",5,0.045355,0.609728,0.249917,0.047742,0.047258,"HBSC"
"S_20_00817","NQWW_01_07","SHS","Quaqtaq",2001,10,26,"Quaqtaq","HL016",5,0.053617,0.700766,0.039194,0.039443,0.16698,"HBSC"
"S_20_00818","NQWW_01_08","SHS","Quaqtaq",2001,10,26,"Quaqtaq","HL003",5,0.066779,0.516401,0.341551,0.061469,0.013801,"HBSC"
"S_20_00820","NQWW_01_20","SHS","Quaqtaq",2001,11,2,"Quaqtaq","HL003",5,0.0374,0.516965,0.313743,0.062904,0.068988,"HBSC"
"S_20_00822","NQWW_01_22","SHS","Quaqtaq",2001,11,2,"Quaqtaq","HL003",5,0.043223,0.108714,0.05468,0.041312,0.752071,"LGR"
"S_20_00828","ARCI_99_1028","NWH","Chesterfield_Inlet",1999,9,18,"Chesterfield Inlet","HL012",5,0.040661,0.646896,0.154481,0.104154,0.053808,"HBSC"
"S_20_00829","ARCI_99_1025","NWH","Chesterfield_Inlet",1999,9,22,"Chesterfield Inlet","HL003",5,0.062323,0.614669,0.210297,0.079513,0.033198,"HBSC"
"S_20_00830","ARCI_99_1026","NWH","Chesterfield_Inlet",1999,9,22,"Chesterfield Inlet","HL003",5,0.041311,0.665277,0.188924,0.039619,0.064869,"HBSC"
"S_20_00831","ARCI_99_1009","NWH","Chesterfield_Inlet",1999,9,18,"Chesterfield Inlet","HL003",5,0.063805,0.590339,0.2716,0.074245,1e-05,"HBSC"
