SampleID,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Region,Harvest Region,Season
S_20_01705,283.SHS.2019.BELUGA.ADN_20_02344.S_20_01705.dl.n_s.bam,-0.0108287,-0.0151638,0.0322241,-0.00204732,-0.00729761,-0.00539731,-0.00811746,-0.0105314,-0.0379225,0.00838473,-0.0301774,0.00441023,-0.00149903,0.00987834,-0.0133593,0.00452922,0.0119745,-0.0042631,-0.0189213,0.0225777,South Hudson Strait,SHS,Spring
S_20_01998,273.SHS.2013.BELUGA.ADN_20_04066.S_20_01998.dl.n_s.bam,-0.0147382,-0.0278954,0.0216311,0.0102465,-0.0373121,0.0321947,-0.0150515,0.0104409,0.0356924,0.00531308,0.00310309,-0.00523582,0.00354771,0.00831787,0.0114508,0.028846,0.029345,-0.0195385,0.0146325,-0.00202746,South Hudson Strait,SHS,Spring
S_20_02317,254.SHS.2000.BELUGA.ADN_20_04454.S_20_02317.dl.n_s.bam,-0.00495375,-0.0223887,0.0171091,-0.00822165,-0.019355,0.0407774,-0.0213194,-0.0475971,0.0128206,0.0745744,-0.0168986,-0.0200662,-0.0262381,0.0161931,0.00197683,0.0077792,0.0120126,0.0137379,-0.0215408,-0.00430616,South Hudson Strait,SHS,Spring
S_20_02719,263.SHS.2007.BELUGA.ADN_20_02564.S_20_02719.dl.n_s.bam,-0.00904864,-0.0220772,0.0303609,-0.000336001,-0.029167,0.0440716,-0.0114542,-0.0163887,0.0299521,0.0202337,0.0160762,-0.00636058,0.00564814,-0.00462522,-0.00620219,-0.0183967,0.0261315,0.0175076,0.00441391,0.0214332,South Hudson Strait,SHS,Spring
S_20_02755,255.SHS.2007.BELUGA.ADN_20_02545.S_20_02755.dl.n_s.bam,-0.00936371,-0.0211398,0.021959,-0.00366437,-0.0266695,0.0460252,-0.00799019,-0.0118105,0.0398283,0.045158,-0.0167691,-0.0293983,-0.027969,-0.00412758,-0.0171932,0.00833395,-0.00430773,0.00766273,-0.0159072,0.0202834,South Hudson Strait,SHS,Spring
S_20_02799,243.SHS.2009.BELUGA.ADN_20_05055.S_20_02799.dl.n_s.bam,-0.0104314,-0.0226346,0.0245559,-0.000269284,-0.0294338,0.0305325,-0.00437336,-0.0135255,0.00591959,0.03479,-0.00941575,-0.0218214,-0.022184,-0.00590048,-0.0032831,0.00771746,0.0331209,0.00480652,-0.000373233,0.0114624,South Hudson Strait,SHS,Spring
S_20_03257,282.SHS.2005.BELUGA.ADN_20_04236.S_20_03257.dl.n_s.bam,-0.00302339,-0.0259498,0.0129035,-0.00493229,-0.0280201,0.0411546,-0.0141164,-0.00426509,0.0396821,0.0375909,-0.00803689,-0.0372979,-0.00783613,0.00668383,0.0104174,0.0158718,0.000965282,-0.0260751,-0.0155481,-0.0058415,South Hudson Strait,SHS,Spring
S_20_01726,251.SHS.2019.BELUGA.ADN_20_04589.S_20_01726.dl.n_s.bam,-0.0130313,-0.0222133,-0.0418674,0.184596,0.0670915,-0.0181107,-0.0173036,0.0243364,-0.0161909,-0.0141997,0.000526674,0.0280509,0.0221446,-0.0199115,0.0189179,0.00846728,-0.0534625,0.00792203,-0.0942824,0.104549,South Hudson Strait,SHS,Summer
S_20_01743,279.SHS.2020.BELUGA.ADN_20_04591.S_20_01743.dl.n_s.bam,-0.00871731,-0.0212696,0.0238363,0.00119081,-0.0234378,0.0290451,-0.000413411,0.004821,0.0255456,-0.00505825,0.00363681,-0.0157751,0.00449097,-0.00413175,0.00383003,-0.00058134,0.0118443,0.0132752,-0.0198484,0.0125193,South Hudson Strait,SHS,Summer
S_20_01750,250.SHS.2019.BELUGA.ADN_20_04597.S_20_01750.dl.n_s.bam,-0.0156931,-0.0246777,-0.00569328,0.0107381,-0.0181782,0.0245005,0.0181197,0.0727455,0.0561578,-0.0612697,-0.0190314,-0.0767131,-0.018447,0.0158577,0.144948,0.204447,-0.0826887,-0.00985756,0.0819813,-0.0161938,South Hudson Strait,SHS,Summer
S_20_01935,240.SHS.1999.BELUGA.ADN_20_01892.S_20_01935.dl.n_s.bam,-0.00905918,-0.0259749,0.0293573,-0.00127782,-0.0496983,0.058372,0.004371,0.0105499,0.0586459,0.00199153,0.000432585,-0.0277914,-0.00428599,-0.00623995,-0.0328316,-0.0172687,-0.0224449,-0.0138839,-0.02045,0.00320107,South Hudson Strait,SHS,Summer
S_20_02016,270.SHS.2013.BELUGA.ADN_20_04084.S_20_02016.dl.n_s.bam,-0.0107248,-0.0230235,0.0172722,0.00434015,-0.0269217,0.0172311,0.00403353,0.0180101,0.00628794,-0.0186664,-0.0174674,-0.0153177,0.00185058,-0.00328902,0.0344045,0.00761878,0.0146996,0.00178615,0.0319884,0.00665088,South Hudson Strait,SHS,Summer
S_20_02328,280.SHS.2000.BELUGA.ADN_20_04465.S_20_02328.dl.n_s.bam,-0.00828373,-0.027892,-0.0007861,0.00845805,-0.0219263,0.0673703,0.00132811,-0.00805874,0.075325,0.0486124,-0.0467338,-0.0961724,-0.0542626,0.0555201,0.225451,0.349523,-0.113161,-0.0035475,0.130975,0.00305122,South Hudson Strait,SHS,Summer
S_20_02329,261.SHS.2000.BELUGA.ADN_20_04466.S_20_02329.dl.n_s.bam,-0.0127934,-0.0272282,0.00234533,0.00901319,-0.0256981,0.0592727,0.00142622,0.000997388,0.0686554,0.0355662,-0.0442632,-0.0976925,-0.0454342,0.0641915,0.238353,0.349721,-0.119015,-0.00608922,0.140769,0.0128998,South Hudson Strait,SHS,Summer
S_20_02537,241.SHS.2004.BELUGA.ADN_20_04338.S_20_02537.dl.n_s.bam,-0.00491646,-0.0205133,0.0159729,0.00292036,-0.0283205,0.0423229,-0.0126805,-0.00776396,0.0338981,0.0411957,-0.0116623,-0.0372352,-0.00374481,-0.00551497,0.00962365,0.0137881,-0.00188862,0.0100036,-0.014474,0.00360815,South Hudson Strait,SHS,Summer
